node;emitted instances
ClassDecl;388
Class.FieldDecl;692
Class.MethodDecl;689
Assign.Value;2659
VariableUse.Direct;17999
FunctionCall.Direct;1302
IfStmt;465
EmptyEx;71
ItemUse;902
IncDecEx;110
JumpStmt;700
FieldUse.Static;72
Array.ValueItem;6223
Loop.Foreach;92
IssetEx;131
UnsetStmt;2
BinaryEx;579
IndirectVarUse;4
TernaryEx;52
UnaryEx;96
Loop.For;11
Class.Concat.2;46
NewEx;5093
Array.RefItem;74
SwitchStmt;27
Loop.While;15
Class.Concat.9;6
Class.Concat.5;11
Class.Concat.4;13
Class.Concat.3;40
StaticMethodCall.Direct;78
Class.Concat.1;3
FunctionCall.Indirect;21
LambdaFunctionExpr;24
Class.Concat.21;1
ConstantUse.Global;1
Class.Concat.12;1
EchoStmt;3
